,open,high,low,close,volume,datetime
2842,56797.0,56848.97,56654.31,56771.0,586.08,2024-09-05 10:00:00
2843,56771.0,56863.8,56663.0,56698.01,597.41,2024-09-05 11:00:00
2844,56698.01,56850.0,56318.0,56662.0,1962.33,2024-09-05 12:00:00
2845,56662.01,57158.81,56571.47,57028.62,1904.36,2024-09-05 13:00:00
2846,57028.62,57350.0,56479.36,56558.01,2734.65,2024-09-05 14:00:00
2847,56558.0,56674.83,55817.51,55976.01,3598.75,2024-09-05 15:00:00
2848,55976.01,56416.65,55960.0,56335.0,1223.32,2024-09-05 16:00:00
2849,56335.0,56614.0,56200.42,56602.99,893.08,2024-09-05 17:00:00
2850,56603.0,56710.0,56506.3,56548.99,602.6,2024-09-05 18:00:00
2851,56549.0,56568.0,55800.0,56060.01,1587.58,2024-09-05 19:00:00
2852,56060.0,56259.97,56010.0,56094.0,664.2,2024-09-05 20:00:00
2853,56094.0,56253.44,55643.65,56150.6,901.96,2024-09-05 21:00:00
2854,56150.59,56227.5,55783.0,56104.6,521.41,2024-09-05 22:00:00
2855,56104.99,56208.0,55993.45,56180.0,332.1,2024-09-05 23:00:00
2856,56180.0,56333.82,55989.0,56182.0,597.43,2024-09-06 00:00:00
2857,56182.01,56615.49,55993.0,56558.99,911.88,2024-09-06 01:00:00
2858,56559.0,56858.88,56499.87,56738.0,940.25,2024-09-06 02:00:00
2859,56738.0,56840.88,56532.0,56588.0,639.59,2024-09-06 03:00:00
2860,56588.01,56747.91,56585.29,56594.66,418.55,2024-09-06 04:00:00
2861,56594.67,56665.26,56295.49,56491.01,859.72,2024-09-06 05:00:00
2862,56491.01,56518.0,56278.57,56430.01,555.46,2024-09-06 06:00:00
2863,56430.01,56439.0,55280.0,55804.29,4110.12,2024-09-06 07:00:00
2864,55804.28,55938.42,55639.0,55783.01,1256.45,2024-09-06 08:00:00
2865,55783.01,55925.46,55676.72,55889.86,1042.62,2024-09-06 09:00:00
2866,55889.86,56262.11,55889.85,56178.01,890.38,2024-09-06 10:00:00
2867,56178.01,56252.0,55826.26,55999.09,926.81,2024-09-06 11:00:00
2868,55999.09,56944.59,55653.42,56873.99,5000.01,2024-09-06 12:00:00
2869,56873.99,57008.0,55849.8,55896.01,3481.5,2024-09-06 13:00:00
2870,55896.01,55936.0,54424.24,54733.24,7268.22,2024-09-06 14:00:00
2871,54734.0,55000.0,53808.0,54045.01,5387.24,2024-09-06 15:00:00
2872,54045.0,54256.0,53632.83,54074.0,3316.2,2024-09-06 16:00:00
2873,54074.0,54435.0,53705.78,53935.0,2443.31,2024-09-06 17:00:00
2874,53935.01,53995.0,53350.0,53352.67,2451.71,2024-09-06 18:00:00
2875,53352.67,53997.0,53267.54,53534.28,3103.28,2024-09-06 19:00:00
2876,53534.27,53800.0,52650.0,52887.99,4613.33,2024-09-06 20:00:00
2877,52888.0,53766.58,52550.0,53766.57,2677.79,2024-09-06 21:00:00
2878,53766.58,53856.82,53614.52,53644.01,858.29,2024-09-06 22:00:00
2879,53644.0,53969.99,53611.1,53962.97,697.62,2024-09-06 23:00:00
2880,53962.97,54095.65,53891.51,53914.0,800.06,2024-09-07 00:00:00
2881,53914.0,54000.11,53745.54,53813.37,690.47,2024-09-07 01:00:00
2882,53813.37,53945.42,53756.56,53802.0,418.47,2024-09-07 02:00:00
2883,53802.0,53873.81,53791.42,53818.91,374.19,2024-09-07 03:00:00
2884,53818.92,54061.1,53814.0,54060.59,413.17,2024-09-07 04:00:00
2885,54060.59,54381.1,54007.67,54185.01,1125.35,2024-09-07 05:00:00
2886,54185.01,54379.0,54028.22,54320.23,1117.41,2024-09-07 06:00:00
2887,54320.23,54405.37,54183.31,54286.0,1554.89,2024-09-07 07:00:00
2888,54286.0,54393.48,54189.6,54370.99,795.86,2024-09-07 08:00:00
2889,54371.0,54419.38,54168.23,54251.11,528.55,2024-09-07 09:00:00
2890,54251.11,54454.8,54247.0,54346.01,489.08,2024-09-07 10:00:00
2891,54346.01,54492.98,54264.54,54326.0,476.37,2024-09-07 11:00:00
2892,54326.01,54663.0,54326.0,54578.71,562.26,2024-09-07 12:00:00
2893,54578.72,54665.94,54404.0,54546.99,686.74,2024-09-07 13:00:00
2894,54547.0,54691.1,54488.41,54632.17,529.51,2024-09-07 14:00:00
2895,54632.17,54829.0,54600.0,54780.0,732.36,2024-09-07 15:00:00
2896,54780.0,54850.0,54434.84,54465.97,810.18,2024-09-07 16:00:00
